#{"t_start": 1776950359.511148, "env_id": "HalfCheetah-v5"}
r,l,t
3377.703339,1000,184.285739
3067.837431,1000,184.3932
3477.817006,1000,184.729813
3435.104147,1000,184.838658
3541.787746,1000,185.175823
3303.307472,1000,185.282677
3056.917531,1000,185.618973
3307.95191,1000,185.726436
3182.237421,1000,186.063262
3452.379395,1000,186.170199
3612.141401,1000,186.50559
3552.501798,1000,186.612795
3193.747377,1000,186.949081
3334.020718,1000,187.05771
3311.165292,1000,187.397413
3300.805456,1000,187.504703
3170.153226,1000,187.843023
3423.826079,1000,187.950298
3207.479941,1000,188.057964
3320.920534,1000,188.420903
3794.652047,1000,188.528553
3202.021203,1000,188.871999
3210.931938,1000,188.978457
3511.871296,1000,189.319377
3464.586332,1000,189.427745
3349.448221,1000,189.77114
3414.907982,1000,189.932033
3461.527644,1000,190.294322
3442.961622,1000,190.401248
3556.813909,1000,190.751225
3494.005013,1000,190.862615
3508.015626,1000,191.207076
3427.05032,1000,191.319234
3382.848219,1000,191.663007
3256.509719,1000,191.773448
3329.952831,1000,192.116419
3491.332905,1000,192.225422
3393.880392,1000,192.562006
3375.551512,1000,192.668111
3298.107042,1000,193.002788
3614.87262,1000,193.108204
3490.104277,1000,193.441832
3358.310863,1000,193.547288
3248.123273,1000,193.880377
3446.940047,1000,193.986737
3484.689981,1000,194.31927
3577.524985,1000,194.42554
3560.151307,1000,194.758245
3586.775289,1000,194.864069
3567.20148,1000,195.195876
3404.902947,1000,195.301572
3390.81223,1000,195.633096
3400.152676,1000,195.739009
3613.316695,1000,196.071533
3658.770228,1000,196.177874
3524.101019,1000,196.509178
3290.631324,1000,196.615304
3243.670283,1000,196.947174
3440.943895,1000,197.053576
3486.706834,1000,197.384461
3462.030556,1000,197.49071
3441.217866,1000,197.596926
3473.705181,1000,197.928634
3586.762988,1000,198.033685
3674.571268,1000,198.364754
3328.036773,1000,198.471661
3331.218094,1000,198.802373
3388.719782,1000,198.907518
3234.154627,1000,199.238614
3487.861731,1000,199.344378
3245.777556,1000,199.675215
3248.254062,1000,199.780859
3460.99045,1000,200.111212
3575.407307,1000,200.217651
3641.381978,1000,200.551099
3594.930081,1000,200.656488
3553.490032,1000,200.987712
3419.973312,1000,201.092733
3633.507094,1000,201.423074
3520.761365,1000,201.528506
3374.769252,1000,201.85985
3462.385962,1000,201.965893
3369.924312,1000,202.297348
3512.967407,1000,202.403186
3641.834139,1000,202.733873
3492.266352,1000,202.84001
3462.816341,1000,203.171083
3531.926552,1000,203.275831
3371.073264,1000,203.611609
3515.643894,1000,203.717361
3189.398067,1000,204.049353
3246.360977,1000,204.155567
3522.65225,1000,204.485877
3520.671618,1000,204.590999
3551.211374,1000,204.921413
3464.092433,1000,205.026979
3689.714112,1000,205.357589
3784.083974,1000,205.463196
3611.009152,1000,205.793886
3549.654994,1000,205.900103
3577.953441,1000,206.236299
3597.279984,1000,206.347416
3337.135041,1000,206.679186
3589.558473,1000,206.784578
3650.863192,1000,206.889192
3599.56434,1000,207.231978
3501.081505,1000,207.33714
3673.595688,1000,207.665453
3413.88977,1000,207.7695
3230.560962,1000,208.098269
3474.770757,1000,208.203548
3462.721888,1000,208.533734
3535.055119,1000,208.639754
3487.151631,1000,208.969519
3423.27755,1000,209.074332
3364.156405,1000,209.404095
3699.055752,1000,209.509426
3664.54303,1000,209.839033
3564.446106,1000,209.944389
3369.554182,1000,210.273911
3676.973491,1000,210.380372
3729.980558,1000,210.71443
3817.842088,1000,210.819733
3401.233062,1000,211.149793
3755.936551,1000,211.255546
3359.070637,1000,211.585583
3668.590443,1000,211.690184
3434.555234,1000,212.020145
3261.90805,1000,212.126347
3557.173336,1000,212.457294
3228.56343,1000,212.564175
3491.850351,1000,212.894351
3548.617269,1000,212.999579
3473.662139,1000,213.328204
3452.60769,1000,213.43407
3687.985628,1000,213.764012
3699.630664,1000,213.869883
3689.46421,1000,214.20032
3495.002438,1000,214.305065
3522.746115,1000,214.63565
3572.057213,1000,214.741739
3265.539527,1000,215.071916
3733.713584,1000,215.177926
3623.377747,1000,215.506954
3390.946911,1000,215.611934
3610.742461,1000,215.940632
3576.541089,1000,216.046413
3735.779239,1000,216.151759
3575.756563,1000,216.482551
3543.902841,1000,216.610801
3343.122188,1000,216.942621
3554.321242,1000,217.048177
3664.397051,1000,217.378688
3632.470072,1000,217.484856
3512.43529,1000,217.815377
3493.128896,1000,217.920394
3754.61961,1000,218.249833
3693.492916,1000,218.355278
3607.496592,1000,218.685554
